case_id,trade_nm,legal_name,street_addr_1_txt,cty_nm,st_cd,zip_cd,naic_cd
1667313,"Mountain View Alternative Care, Inc.","Mountain View Alternative Care, Inc.",3168 S. York St.,Englewood,CO,80110,623312
1804519,Classy Nails,Classy Nails INC,706 Kirkwood Mall,Bismarck,ND,58504,812113
1396740,"Rubber Ducky Productions, Inc.","Rubber Ducky Productions, Inc.",1100 S. Wall Street #103,Los Angeles,CA,90015,315232
1668520,"Mountain View Alternative Care, Inc.","Mountain View Alternative Care, Inc.",3136 S. St. Paul,Denver,CO,80210,623312
1722134,Moe's Southwest Grill,Sunshine International LLC,715 Giant City Road,Carbondale,IL,62901,722110
1687832,Shirley Contracting,"Shirley Contracting Company, LLC",8435 Backlick Road,Lorton,VA,22079,237310
1468977,SN-5 Enterprises,SN-Five Incorporated,PO Box 150,Tinian,MP,96952,4883
1476247,Palm Beach Medical Transport,Walter Transport Corp,"3301 Electronic Way, Suite D",West Palm Beach,FL,33407,624120
1313252,Consolidated Electric-Medina Base,Consolidated Electric,13311 Western Oak,San Antonio,TX,78249,335999
1520619,Correction Corporation of America,"CCA of Tennessee, Inc.",C/O Bay County Jail,Panama City,FL,32405,922140
1553699,El Rancho #3,"El Rancho of Fayetteville, Inc.",5431 N. Main Street,Hope Mills,NC,28348,7221
1448537,Wildcat Investments,Wildcat Investments,755 Schneider Drive,South Elgin,IL,60177,722211
1609520,"First Farm, Inc., Cristol Lee, Camp 2","Lee's Shiloh Farms, Inc",10105 Flikkema Avenue,Hastings,FL,32145,721310
1609521,"First Farm, Inc., Cristol Lee, Camp 3","Lee's Shiloh Farms, Inc.",10610 Zigler Avenue,Hastings,FL,32145,721310
1674007,Precision Broadband Installation Corporation,"Precision Broadband Installation, Inc.","760 Warehouse Road, Unit C",Toledo,OH,43615,334220
1693420,Corizon Health Inc,"Corizon Health, Inc.",379 Hwy 239,Clayton,AL,36016,621999
1621662,Mc Donalds Randallstown,"Golden Arch Management, Inc.",9500 Liberty Road,Randallstown,MD,21133,722211
1786222,Whiting Door Mfg. Corp.,Whiting Door Mfg. Corp.,113 Cedar Street,Akron,NY,14001,3312
1724695,Murrah High School,Jackson Public School District,624 South President St.,Jackson,MS,39201,9720
1333907,Shoe Sensation - Danville,"Acton Enterprises, Inc.",2917 N. Vermilion,Danville,IL,61832,44821
1673391,Arby's,"DRM, Inc.",208 Johnson Court,Des Moines,IA,50316,722211
1353491,The Filling Station,"The Filling Station, Inc.",27 Route O,South West City,MO,64863,44711
1456616,Adamucci Farms,Adamucci Farms,152 Trench Road,Bridgeton,NJ,8302,111336
1757226,Career Systems Development Corporation,Career Systems Development Corporation,75 Thruway Park Drive,West Henrietta,NY,14586,611699
1393221,Pea Ridge Self Storage,Easy Storage VIII Limited Partnership,10 Stor Mor Drive,Huntington,WV,25705,49319
1440272,Hospitality Service,Hospitality Service,2378 Heather Glen Ct.,Dayton,OH,45431,561320
1603186,"Soto, Heriberto","Soto, Heriberto",16614 Grapefruit Drive,Edinburg,TX,78541,115115
1717705,El Bufalo Pawn,"LBP, L.P.",4001 McPherson #202,Laredo,TX,78041,522298
1492118,"Choe Enterprise, Inc.","Choe Enterprise, Inc",115 E Travis St #601,San Antonio,TX,78205,561720
1423960,Cedar Lane Rehab & Health,"CPL Subacute, LLC",128 Cedar Ave.,Waterbury,CT,6705,6231
1734371,Orkin Pest & Termite Control,"Orkin, LLC",5103 W 2100 S,Salt Lake City,UT,84120,561710
1481893,VGT Enterprises,"VGT Enterprises, LLC",P O Box 872645,New Orleans,LA,70187,562111
1498607,Cambridge Behavioral Services,"Cambridge Behavioral Health Services, Inc",622 S Memorial Dr,Greenville,NC,27834,9690
1498610,Scottish Inn Motel,Jalaram Inc.,1759 N. Garnett St,Henderson,NC,27536,721110
1498971,Quaker State Plantations Camp #2,Quaker State Plantations,231 Denssen Drive,Bloomsburg,PA,17815,111421
1499732,"Becerra, Maximino FLC","Becerra, Maximino FLC",325 Citrus Avenue,Lake Placid,FL,33852,115115
1499429,Codigo,"Patzzi, Inc.","224 E. 11th Street, #300",Los Angeles,CA,90015,315232
1704927,"Flaim Farms, Inc.","Flaim Farms, Inc.",1958 Panther Road,Vineland,NJ,8360,111219
1499723,Security Courier,Security Courier Corp.,3202 Kenmore Drive,South Bend,IN,46628,492110
1500062,Eller & Sons,"Eller & Sons Trees, Inc.",500 Loblolly Ln,Franklin,GA,30217,1132
1499883,"Gasoline Alley, Inc.","Gasoline Alley, Inc.",699 North Loudon Street,Winchester,VA,22601,447110
1478949,Temple Sports Medicine,Temple University,"1 Greentree Center, Rte 74  Suite 73",Marlton,NJ,8053,611310
1501399,AmerenIP,Ameren Corporation,370 South Main Street,Decatur,IL,62523,22121
1725235,"IAP Worldwide Services, Inc.","IAP Worldwide Services, Inc.",7315 N. Atlantic Ave.,Cape Canaveral,FL,32920,11411
1685113,Fixtures Living,Fixtures Living Inc.,9340 Dowdy Dr Suite 102,San Diego,CA,92126,3371
1501585,HomeGoods,"The TJX Companies, Inc.",2545 Town Center N. Blvd,Sugar Land,TX,77479,452990
1501654,Security Courier Corporation,Security Courier Corporation,1503 E. 91st Drive,Merrillville,IN,46410,492110
1502608,Ibero-American Action League,"Ibero-American Action League, Inc.",227 Avenue A,Rochester,NY,14621,62321
1502609,Ibero-American Action League,"Ibero-American Action League, Inc.",777 Clifford Ave.,Rochester,NY,14621,62441
1502611,Ibero-American Action League,"Ibero-American Action League, Inc.",2104 Culver Rd.,Rochester,NY,14609,62321
1502052,Big M Solutions Inc.,Big M Solutions Inc,22251 SW 187 Ave,Miami,FL,33170,115115
1502060,Jo Lene University,"Jana Dresses, Inc.",575 E. Univ. Parkway,Orem,UT,84097,448130
1502062,Jo Lene South Towne,"Jana Dresses, Inc.",10450 South State Street,Sandy,UT,84070,448130
1502072,Old Town Chinese Restaurant I,Li Qun Corporation,P.O. Box 217827,Barrigada,GU,96921,722110
1502204,Kansas City Missouri School District,Kansas City Missouri School District,1211 McGee,Kansas City,MO,64106,9740
1503211,Elite Staffing,"Elite Labor Services, LTD.",1400 W. Hubbard,Chicago,IL,60622,56131
1503092,"Family Dollar Stores of Colorado, Inc.","Family Dollar Stores of Colorado, Inc.",10204 East Colfax at Galena,Aurora,CO,80010,453998
1655748,"NISSHO of California, Inc. Thermal","NISSHO of California, Inc.",89055 64th Avenue,Thermal,CA,92274,561730
1503210,Staff Manangement,Seaton Corp.,860 W. Evergreen,Chicago,IL,60622,56131
1503128,"Clairday Food Service, Inc","Clairday Food Service, Inc.",3009 CR 731,Jonesboro,AR,72401,722211
1503658,"Ferguson Enterprises, Inc.","Ferguson Enterprises, Inc.",950 West County Line Road,Jackson,MS,39213,4237
1503840,Metroplex Garden Design,"Metroplex Garden Design Landscaping, LP","2607 Walnut Hill, Ste 210",Dallas,TX,75229,54132
1503923,Boaters World,"Ritz Camera Centers, Inc",147 Altama Connector,Brunswick,GA,31525,453998
1504094,"Hillcrest Health Care Services, LLC.","Careage Management, LLC","2121 Avenue L, # A",Hawarden,IA,51023,623110
1504739,Raceway Store #6752,"Srinathji, LLC",3010 Hwy 153,Piedmont,SC,29673,44711
1504852,"Gary Nunez, FLC","Gary Nunez, FLC",9500 County Road 858,Immokalee,FL,34142,111219
1364653,Kustom Kleen USA,"Kustom Kleen of Texas, Inc.",2226 Westgate,Pearland,TX,77581,561720
1624638,Secret Charm LLC,Secret Charm LLC,1437 E 20th Street,Los Angeles,CA,90011,31599
1505365,Villa Pizza,Villa Enterprise,7021 South Memorial Drive,Tulsa,OK,74133,445299
1516417,Bebe Outlet # 376,"Bebe Stores, Inc.",11401 N W 12th Street (376),Miami,FL,33172,448120
1525086,Mi Pueblo Foods,"Mi Pueblo San Jose, INC",1745 Story Rd,San Jose,CA,95121,445110
1517871,"Norcal Harvesting, LLC","Norcal Harvesting, LLC","3 Quail Run Circle, #101",Salinas,CA,93907,115115
1516519,"Best Loading Service, Inc.","Best Loading Service, Inc.",P.O. Box 67,Moscow,TN,38057,484110
1516646,Buford's Restaurant,Ackerman Investment Company,2601 E 13th Street,Ames,IA,50010,72211
1516664,"Meijer, Inc.",Meijer Great Lakes Limited Partnership,20401 Haggerty Road,Northville,MI,48167,445110
1519263,Melissa Tucker- FLC,Melissa Tucker,46 Junious Lucas Rd.,Faison,NC,28341,115115
1519662,"Habilitation, Inc.","Habilitation, Inc.",1755 W. Market St.,Pottsville,PA,17901,9680
1518050,Foods Co.,"Kroger, Inc.",1801 White Ln.,Bakersfield,CA,93304,445110
1518070,West Virginia's Choice,West Virginia's Choice,4329 Hughes Branch Road,Barboursville,WV,25504,621610
1518217,Barbara's Loving Care,Barbara's Loving Care,2017 Christian Lane,Kinston,NC,28501,9690
1446877,Shiflett Farms,Dale Shiflett dba Shiflett Farms,17165 Saddle Bag Rd. NE,Deming,NM,88030,11121
1516896,Mario's Pizza Inn/Mario's Pizza Burger,Mario's Pizza,"Condadito, Villas de Castro",Caguas,PR,725,722211
1516924,Emory Valley Center,Emory Valley Center,715 Emory Valley Road,Oak Ridge,TN,37830,624310
1391374,D & D Services,"D & D Services, Inc.",3116 Cuming Street,Omaha,NE,68131,81149
1392613,Atlantis Rehabilitation,Broadway Healthcare,201 Fifth Avenue,Carneys Point,NJ,8069,623110
1392624,Sterling Manor,Broadway Healthcare,794 N. Fork Landing Road,Maple Shade,NJ,8052,623110
1441555,IFCO Systems North  America,"IFCO Systems of North America, Inc.","North E. Industrial Park,",Altamont,NY,12009,321920
1517350,The Farm at Green Village,"Green Village Garden Center, Inc.",403 Green Village Rd,Green Village,NJ,7935,11142
1515142,Whole Foods Market,"Whole Foods Market Group, Inc.",10020 Regency Circle,Omaha,NE,68114,445110
1486626,"Raybern Bus Service, Inc.",Atlantic Express Transportation Group,91 Baiting Place Road,Farmingdale,NY,11735,485410
1492182,AJM Packaging Corporation,A.J.M. Packaging Corporation,3400 Enterprise Avenue,Joplin,MO,64801,32222
1488740,Party City #359,"Party City of Arizona, Inc.",5031 E. Ray Road,Phoenix,AZ,85044,452112
1457623,David and Jamie Jones,Jones Farm,830 Stewart Road,Wingo,KY,42088,111910
1490545,Mobile Pressure Wash,"MPW Industrial Services, Inc.","907 Belden Avenue, SE",Canton,OH,44707,811310
1505683,Colonial Manor of Randolph Inc.,"Careage Management, LLC.",811 S. Main Street,Randolph,NE,68771,9670
1507100,"Ferguson Enterprises, Inc.","Ferguson Enterprises, Inc.",11244 Playa Court,Culver City,CA,90230,423730
1491934,Dameron Property Management,Dameron Property Management Inc,315 West Canfield Ave,Coeur d Alene,ID,83815,561720
1429082,McCree McCuller Wellness Center,"PRH, Inc.",89 Genesee St.,Rochester,NY,14611,6211
1508828,"La Belle Fashion, Inc.","La Belle Fashion, Inc.",555 E. Jefferson Blvd.,Los Angeles,CA,90011,315232
1506129,Great Mall 16 Theaters,"Dickinson Theaters, Inc.",20060 West 151st Street,Olathe,KS,66061,512131
1506149,"Martinez, Apolonio FLC","Martinez, Apolonio FLC",P O Box 1371,Elsa,TX,78543,115115
1506290,C & D Electric,C & D Electric,103 S. Diamond Loop,Diamond,MO,64840,238210
1506296,"Best Loading Service, Inc.","Best Loading Service, Inc.",4400 Milwaukee St.,Jackson,MS,39209,484110
1506380,"CSI Complex Systems, Inc.",Tradepaq Corporation,33 Maiden Lane,New York,NY,10038,541511
1506411,J. Gilbert's,"Houlihan's Restaurants, Inc.",185 Glastonbury Boulevard,Glastonbury,CT,6033,722110
1506412,The Grist Mill Restaurant,ARG Restaurant Group LLC,44 Mill Lane,Farmington,CT,6032,722110
